#Acq. time (s)=	5
#Accumulations=	3
#Range=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-75.03
#Instrument=	T64000
#Detector=	Synapse
#Objective=	x100 LD Zeiss Epi-Neo
#Grating=	2400 gr/mm
#Filter=	100%
#Laser (nm)=	405 
#Spectro (cm-¹)=	500.004
#Hole=	100
#Mono grating=	1800
#T64000 Mode=	Single
#First Slit=	-0
#Second Slit=	-0
#PreMono=	174.153
#StageXY=	PI
#X (µm)=	0
#Y (µm)=	0
#Full time(s)=	15
#Project=	InN
#Sample=	Si
#Site=	
#Title=	Si_3 x_5 s_405 nm_100%_x100 LD Zeiss Epi-Neo_2400 gr_mm_100 hole_2021_03_25_09_21_17
#Remark=	
#Date=	25.03.2021 09:21
#Acquired=	25.03.2021 09:21:22
101.382	25
102.177	28
102.974	27.5
103.769	23.5
104.566	29.5
105.361	25.5
106.158	18
106.953	26
107.75	29
108.545	25.5
109.342	25.5
110.136	24.5
110.933	24.5
111.728	27.5
112.522	25
113.319	26.5
114.113	29
114.908	30
115.704	29
116.498	26
117.293	25.5
118.089	26
118.883	28.5
119.677	30
120.473	28
121.267	22
122.061	27
122.855	27.5
123.649	23
124.445	30.5
125.239	28
126.032	24
126.826	26
127.62	23
128.413	27.5
129.207	25.5
130	26.5
130.796	27
131.589	25
132.382	24
133.176	26
133.969	31.5
134.762	28.5
135.555	31
136.348	26
137.141	31
137.934	25
138.727	25
139.518	28
140.311	27.5
141.104	29
141.897	30.5
142.689	30.5
143.482	31
144.274	30
145.067	32
145.858	31.5
146.65	32.5
147.442	28
148.235	29
149.027	33.5
149.817	26
150.61	33
151.402	30
152.192	30
152.984	35
153.776	31
154.566	26
155.358	31
156.15	30.5
156.94	32
157.731	26.5
158.523	31
159.313	29
160.104	32
160.894	30.5
161.685	29
162.475	29.5
163.266	31.5
164.056	30
164.847	31
165.636	31
166.428	27
167.217	29.5
168.008	32.5
168.797	29
169.588	34
170.377	53
171.166	204.5
171.957	664
172.746	899
173.535	929
174.325	900
175.114	564
175.903	169.5
176.693	58
177.482	34
178.27	31.5
179.059	30
179.849	30
180.637	31.5
181.426	30.5
182.214	25.5
183.004	30
183.792	30
184.58	27
185.369	30
186.157	33
186.945	30
187.733	30
188.52	31
189.308	34
190.098	30
190.886	31
191.673	30.5
192.461	27
193.249	27
194.036	29
194.824	32
195.611	26.5
196.397	29.5
197.184	27
197.971	28
198.758	27.5
199.546	30
200.333	26
201.12	32
201.907	31
202.694	29
203.479	33
204.266	27.5
205.053	26.5
205.839	29
206.626	27.5
207.411	28.5
208.198	30.5
208.984	34
209.769	28
210.555	29.5
211.342	28
212.128	33
212.913	28
213.699	29.5
214.483	26
215.269	28.5
216.056	26.5
216.84	26.5
217.626	28
218.41	29.5
219.196	31.5
219.982	29
220.766	28.5
221.551	26.5
222.335	29
223.121	29
223.905	30.5
224.689	26
225.474	27.5
226.258	28.5
227.043	31.5
227.827	31
228.612	28
229.395	28
230.179	31
230.964	32.5
231.747	31
232.53	26
233.315	30
234.099	30
234.882	30
235.665	30
236.45	29
237.232	29
238.015	27.5
238.798	29
239.581	28.5
240.366	26.5
241.148	29
241.931	29
242.713	30
243.496	27.5
244.278	30
245.061	26
245.845	29
246.627	29.5
247.41	29.5
248.192	30.5
248.974	31
249.756	28.5
250.538	26
251.32	33.5
252.102	27
252.884	32.5
253.666	31
254.448	30.5
255.228	32
256.01	34
256.791	32.5
257.573	35
258.355	30.5
259.136	29
259.918	36
260.697	35
261.479	39
262.26	35.5
263.041	32
263.822	35
