Energy	lh	q_lh	10%	hh	q_hh	10%	Y-Err	MBE-E	MEPA-A	MEPA-E	a-InN-A	a-InN-E	qD-MEPA-LH	qD-MBE-LH	qD-A-LH	qD-MEPA-HH	qD-MBE-HH	qD-A-HH
													LH	LH	LH	HH	HH	HH
													MEPA	MBE	a-InN	MEPA	MBE	a-InN
1.49	9508650	19017300	1901730	16568400	33136800	3313680	0.4	597.890810603702	592.455888274216			600.867459515944	22930056.8721037	21384841.2404057	22796450.2476346	36894073.2182604	34590271.2102921	36696401.2021463
1.96	13104600	26209200	2620920	22263400	44526800	4452680	0.6	595.440936124252	591.568301907889			598.234916986682	32209311.6020104	30699774.8880394	32078565.1427871	49948284.198474	47911419.2318747	49773124.2672965
2.33	15862100	31724200	3172420	26277400	52554800	5255480	0.8	593.41362669875	588.823049242537			592.499515404488	39404248.9522281	37907172.0413954	39274522.1077098	59239620.9702445	57360386.5028073	59077848.391344
2.71	18659700	37319400	3731940	30084600	60169200	6016920	1	589.187498309652	587.030279283084				46773450.486669	45283751.1252972	46644333.6006809	68115770.2427857	66369080.0128828	67965287.693408
3.06134	21227179.299	42454358.598	4245435.8598	33377750.0711	66755500.1422			591.697964254666	582.121116794	592.358255197		587.278483893						
4.66106	32805052.4741	65610104.9482	6561010.49482	46445542.9009	92891085.8018			590.183496880359	574.598414048	589.761756544		586.012457163						
