k	e	LH	HH	e-LH	e-HH
cm-1					
0	0.63	0	0	0.63	0.63
500000	0.631356110836248	-0.00271222167249636	-2.38123974856017E-4	0.634068332508745	0.631594234811104
1000000	0.635370722072056	-0.010741444144113	-9.52495899424067E-4	0.64611216621617	0.636323217971481
1500000	0.641892780292051	-0.0237855605841011	-0.00214311577370415	0.665678340876152	0.644035896065755
2000000	0.650700099541417	-0.0414001990828345	-0.00380998359769627	0.692100298624252	0.654510083139114
2500000	0.661532037259397	-0.0630640745187934	-0.00595309937140042	0.72459611177819	0.667485136630797
3000000	0.674119235947479	-0.0882384718949575	-0.0085724630948166	0.762357707842436	0.682691699042295
3500000	0.68820512230371	-0.11641024460742	-0.0116680747679448	0.80461536691113	0.699873197071655
4000000	0.703558285837527	-0.147116571675053	-0.0152399343907851	0.85067485751258	0.718798220228312
4500000	0.719977504401733	-0.179955008803465	-0.0192880419633374	0.899932513205198	0.73926554636507
5000000	0.737291941173124	-0.214583882346248	-0.0238123974856017	0.951875823519372	0.761104338658726
5500000	0.755358706511806	-0.250717413023612	-0.028813000957578	1.00607611953542	0.784171707469384
6000000	0.774059305118061	-0.288118610236123	-0.0342898523792664	1.06217791535418	0.808349157497328
6500000	0.793295870766253	-0.326591741532506	-0.0402429517506668	1.11988761229876	0.83353882251692
7000000	0.812987650891638	-0.365975301783277	-0.0466722990717793	1.17896295267492	0.859659949963418
7500000	0.833067932856708	-0.406135865713417	-0.0535778943426038	1.23920379857013	0.886645827199312
8000000	0.853481455321793	-0.446962910643585	-0.0609597375631403	1.30044436596538	0.914441192884933
8500000	0.874182275927063	-0.488364551854127	-0.0688178287333888	1.36254682778119	0.943000104660452
9000000	0.895132037421878	-0.530264074843756	-0.0771521678533494	1.42539611226563	0.972284205275227
9500000	0.916298567720395	-0.57259713544079	-0.085962754923022	1.48889570316118	1.00226132264342
10000000	0.937654753193336	-0.615309506386672	-0.0952495899424067	1.55296425958001	1.03290434313574
10500000	0.959177632421161	-0.658355264842321	-0.105012672911503	1.61753289726348	1.06419030533266
11000000	0.980847666430695	-0.70169533286139	-0.115252003830312	1.68254299929208	1.09609967026101
11500000	1.00264814966227	-0.745296299324534	-0.125967582698833	1.7479444489868	1.1286157323611
12000000	1.02456473302181	-0.789129466043614	-0.137159409517066	1.81369419906542	1.16172414253887
12500000	1.04658503625791	-0.833170072515818	-0.14882748428501	1.87975510877373	1.19541252054292
13000000	1.06869833165841	-0.877396663316825	-0.160971807002667	1.94609499497524	1.22967013866108
13500000	1.09089528484588	-0.921790569691751	-0.173592377670036	2.01268585453763	1.26448766251591
14000000	1.11316774143835	-0.966335482876708	-0.186689196287117	2.07950322431506	1.29985693772547
14500000	1.13550855068855	-1.01101710137709	-0.20026226285391	2.14652565206564	1.33577081354246
15000000	1.15791141905421	-1.05582283810843	-0.214311577370415	2.21373425716264	1.37222299642463
15500000	1.18037078809518	-1.10074157619037	-0.228837139836632	2.28111236428555	1.40920792793182
16000000	1.20288173222418	-1.14576346444837	-0.243838950252561	2.34864519667255	1.44672068247674
16500000	1.22543987272912	-1.19087974545824	-0.259317008618202	2.41631961818736	1.48475688134732
17000000	1.24804130518635	-1.2360826103727	-0.275271314933555	2.48412391555904	1.5233126201199
17500000	1.27068253793977	-1.28136507587953	-0.291701869198621	2.5520476138193	1.56238440713839
18000000	1.29336043976135	-1.3267208795227	-0.308608671413398	2.62008131928405	1.60196911117475
18500000	1.31607219515972	-1.37214439031945	-0.325991721577887	2.68821658547917	1.64206391673761
19000000	1.33881526608416	-1.41763053216833	-0.343851019692088	2.75644579825249	1.68266628577625
19500000	1.36158735899662	-1.46317471799323	-0.362186565756001	2.82476207698985	1.72377392475262
20000000	1.38438639646589	-1.50877279293178	-0.380998359769627	2.89315918939767	1.76538475623552
20500000	1.40721049258499	-1.55442098516998	-0.400286401732964	2.96163147775498	1.80749689431796
