k	e	LH	HH	e-LH	e-HH
cm-1					
43000000	2.44631342123482	-3.63262684246964	-1.7611649180351	6.07894026370445	4.20747833926992
43500000	2.46952956238733	-3.67905912477466	-1.80236036568519	6.148588687162	4.27188992807252
44000000	2.49274827009848	-3.72549654019696	-1.84403206128499	6.21824481029544	4.33678033138347
44500000	2.51596945866397	-3.77193891732795	-1.88618000483451	6.28790837599192	4.40214946349848
45000000	2.53919304614482	-3.81838609228965	-1.92880419633374	6.35757913843447	4.46799724247856
45500000	2.56241895416325	-3.8648379083265	-1.97190463578267	6.42725686248975	4.53432358994592
46000000	2.58564710771172	-3.91129421542343	-2.01548132318133	6.49694132313515	4.60112843089304
46500000	2.60887743497409	-3.95775486994819	-2.05953425852969	6.56663230492228	4.66841169350378
47000000	2.63210986715806	-4.00421973431612	-2.10406344182776	6.63632960147418	4.73617330898582
47500000	2.65534433833793	-4.05068867667586	-2.14906887307555	6.7060330150138	4.80441321141348
48000000	2.67858078530719	-4.09716157061437	-2.19455055227305	6.77574235592156	4.87313133758024
48500000	2.70181914743997	-4.14363829487994	-2.24050847942026	6.84545744231992	4.94232762686023
49000000	2.72505936656098	-4.19011873312196	-2.28694265451718	6.91517809968293	5.01200202107816
49500000	2.74830138682309	-4.23660277364618	-2.33385307756382	6.98490416046928	5.08215446438691
50000000	2.7715451545923	-4.28309030918459	-2.38123974856017	7.05463546377689	5.15278490315246
