Gamma-K		ELO	ELO	Gamma-M		ELO	ELO	Gamma-A		ALO	ALO
0	0E+0	600	604	0	0E+0	600.459418070444	603.999998070444	0	0E+0	591.731553510453	592.000003510453
0.0114941483508989	1.35630950540607E+6	600.009552657032	604.009552657032	0.0132517122287101	1.35432498977418E+6	600.371514973933	603.912094973933	0.0150785505700703	8.31129707422278E+5	592.118613743	592.387063743
0.0327728723549363	3.86719893788248E+6	600.117020048639	604.117020048639	0.0300354842713899	3.06962649253605E+6	600.264040999331	603.804620999331	0.0329022034870485	1.81356945620612E+6	592.110425234769	592.378875234769
0.0524147714355864	6.18494302939919E+6	600.117020048639	604.117020048639	0.0468200595575277	4.78501008677933E+6	600.264040999331	603.804620999331	0.0507258564040276	2.79600920499E+6	592.102236726538	592.370686726538
0.0720566705162363	8.50268712091589E+6	600.117020048639	604.117020048639	0.063604634843665	6.50039368102256E+6	600.264040999331	603.804620999331	0.0685495093210058	3.77844895377384E+6	592.094048218306	592.362498218306
0.0916985695968864	1.08204312124326E+7	600.117020048639	604.117020048639	0.0803892101298027	8.21577727526584E+6	600.264040999331	603.804620999331	0.0863731622379849	4.76088870255773E+6	592.085859710075	592.354309710075
0.111340468677536	1.31381753039493E+7	599.902085265424	603.902085265424	0.09717378541594	9.93116086950907E+6	600.264040999331	603.804620999331	0.104196815154964	5.74332845134161E+6	592.077671201843	592.346121201843
0.130982367758186	1.5455919395466E+7	599.472215698996	603.472215698996	0.113958360702078	1.16465444637523E+7	600.264040999331	603.804620999331	0.122020468071942	6.72576820012545E+6	592.069482693612	592.337932693612
0.150624266838836	1.77736634869827E+7	599.257280915781	603.257280915781	0.130742935988215	1.33619280579956E+7	600.264040999331	603.804620999331	0.139844120988921	7.70820794890934E+6	592.061294185381	592.329744185381
0.170266165919486	2.00914075784994E+7	598.684121493876	602.684121493876	0.147527511274352	1.50773116522388E+7	600.264040999331	603.804620999331	0.161936049617243	8.92591505490241E+6	592.115496455	592.383946455
0.189908065000136	2.24091516700161E+7	598.397541782924	602.397541782924	0.164310480073575	1.67925310635194E+7	600.049093050127	603.589673050127	0.260157190056957	1.43398643159395E+7	591.146228390523	591.414678390523
0.209549964080786	2.47268957615328E+7	597.896027288757	601.896027288757	0.181091039142426	1.85075042003559E+7	599.511723177116	603.052303177116	0.277980842973936	1.53223040647234E+7	591.138039882292	591.406489882292
0.229191863161436	2.70446398530495E+7	597.537802650066	601.537802650066	0.197873204698191	2.02226415201551E+7	599.18930125331	602.72988125331	0.295804495890915	1.63047438135072E+7	591.129851374061	591.398301374061
0.248833762242086	2.93623839445662E+7	597.036288155899	601.036288155899	0.214652960523584	2.19375325655103E+7	598.544457405698	602.085037405698	0.328608489405107	1.81128999360095E+7	590.660669912984	590.929119912984
0.268475661322736	3.16801280360829E+7	596.319838878518	600.319838878518	0.231436732566264	2.36528340682722E+7	598.436983431096	601.977563431096	0.452425531294267	2.493769528494E+7	588.766113844735	589.034563844735
0.288117560403386	3.39978721275996E+7	595.46009974566	599.46009974566	0.25110734176172	2.56631703280478E+7	598.162327718224	601.702907718224	0.631004577781262	3.47809723273032E+7	586.846399122	587.114849122
0.307759459484036	3.63156162191163E+7	594.743650468279	598.743650468279	0.302669981252447	3.09328720840001E+7	597.243491577335	600.784071577335	0.656750526851882	3.62000890400757E+7	586.665067260899	586.933517260899
0.327401358564686	3.8633360310633E+7	593.883911335422	597.883911335422	0.323734225283957	3.30856378240204E+7	596.07255598985	599.61313598985	0.710223191542033	3.91475023177969E+7	586.210605054057	586.479055054057
0.347043257645336	4.09511044021497E+7	593.095817130302	597.095817130302	0.340513177865893	3.48004467778942E+7	595.320238167635	598.860818167635	0.728050256337441	4.01301301293197E+7	585.34262318153	585.61107318153
0.366685156725986	4.32688484936664E+7	592.307722925183	596.307722925183	0.357296146665115	3.65156661891748E+7	595.105290218431	598.645870218431	0.745876468163242	4.11127109251579E+7	584.689589650077	584.958039650077
0.386327055806636	4.55865925851831E+7	591.519628720063	595.519628720063	0.374078312220881	3.8230803508974E+7	594.782868294625	598.323448294625	0.763702679989043	4.20952917209961E+7	584.036556118625	584.305006118625
0.405968954887286	4.79043366766998E+7	590.659889587206	594.659889587206	0.390858871289731	3.99457766458105E+7	594.245498421614	597.786078421614	0.781526332906021	4.30777314697799E+7	584.028367610393	584.296817610393
0.425610853967936	5.02220807682165E+7	589.871795382086	593.871795382086	0.407640233602039	4.16608318741284E+7	593.815602523206	597.356182523206	0.799349985823	4.40601712185638E+7	584.020179102162	584.288629102162
0.445252753048586	5.25398248597332E+7	588.797121466014	592.797121466014	0.424420792670889	4.33758050109649E+7	593.278232650195	596.818812650195	0.817173638739979	4.50426109673476E+7	584.01199059393	584.28044059393
0.464894652129236	5.48575689512499E+7	587.149288128037	591.149288128037	0.441649097988586	4.51365378144335E+7	592.649310872894	596.189890872894	0.834998144626566	4.60250977318163E+7	583.788853744625	584.057303744625
0.484536551209886	5.71753130427666E+7	585.644744645537	589.644744645537	0.473028931664137	4.83435568160748E+7	591.271056661562	594.811636661562	0.852823503482758	4.70076315119696E+7	583.350768554246	583.619218554246
0.504178450290536	5.94930571342833E+7	583.99691130756	587.99691130756	0.512513305889017	5.23788598618575E+7	589.731591488327	593.272171488327	0.870648009369345	4.79901182764383E+7	583.127631704941	583.396081704941
0.523820349371186	6.18108012257999E+7	582.778947536011	586.778947536011	0.529292258470952	5.40936688157313E+7	588.979273666112	592.519853666112	0.888473368225538	4.89726520565917E+7	582.689546514562	582.957996514562
0.543462248451836	6.41285453173166E+7	581.560983764463	585.560983764463	0.551480232661947	5.6361279778051E+7	588.055130168453	591.595710168453	0.906299153566535	4.99552093445874E+7	582.143987153646	582.412437153646
0.563104147532486	6.64462894088334E+7	580.343019992915	584.343019992915	0.573891456472027	5.86517068514411E+7	586.676875957121	590.217455957121	0.928644221986842	5.11868695159147E+7	581.656059316086	581.924509316086
0.582746046613136	6.87640335003501E+7	579.125056221367	583.125056221367	0.59854826636634	6.11716328226399E+7	585.758039816233	589.298619816233	0.94769552194181	5.22369771694326E+7	580.728470663733	580.996920663733
0.602387945693786	7.10817775918668E+7	577.978737377557	581.978737377557	0.614239900013048	6.27753177813335E+7	585.298621745789	588.839201745789	0.968690041987232	5.33941951143362E+7	580.073318134635	580.341768134635
0.622029844774436	7.33995216833835E+7	576.760773606009	580.760773606009	0.634412404974626	6.48369477884068E+7	584.3797856049	587.9203656049	0.983413518948296	5.42057531644301E+7	579.79322502958	580.06167502958
0.641671743855086	7.57172657749001E+7	575.256230123508	579.256230123508	0.656827062402571	6.71277257775427E+7	583.460949464012	587.001529464012	1	5.512E+7	579.78556804778	580.05401804778
0.661313642935736	7.80350098664168E+7	573.608396785531	577.608396785531	0.688695119351442	7.03846411977173E+7	582.208413266181	585.74899326618				
0.680955542016386	8.03527539579336E+7	571.888918519816	575.888918519816	0.705474875176834	7.20995322430725E+7	581.563569418568	585.104149418568				
0.700597441097036	8.26704980494502E+7	570.312730109577	574.312730109577	0.72225382775877	7.38143411969463E+7	580.811251596353	584.351831596353				
0.720239340177686	8.49882421409669E+7	568.736541699338	572.736541699338	0.739035190071078	7.55293964252642E+7	580.381355697945	583.921935697945				
0.739881239258336	8.73059862324836E+7	567.160353289099	571.160353289099	0.755815749139928	7.72443695621006E+7	579.843985824935	583.384565824935				
0.759523138338986	8.96237303240003E+7	565.58416487886	569.58416487886	0.772594701721864	7.89591785159745E+7	579.09166800272	582.63224800272				
0.779165037419636	9.19414744155171E+7	563.936331540883	567.936331540883	0.789372851060342	8.06739053783669E+7	578.231876205903	581.772456205903				
0.798806936500286	9.42592185070338E+7	562.431788058383	566.431788058383	0.806153410129193	8.23888785152035E+7	577.694506332893	581.235086332893				
0.818448835580936	9.65769625985504E+7	560.783954720406	564.783954720406	0.822933165954586	8.41037695605586E+7	577.04966248528	580.59024248528				
0.838090734661586	9.88947066900671E+7	559.565990948857	563.565990948857	0.839714528266894	8.58188247888765E+7	576.619766586872	580.160346586872				
0.857732633742236	1.01212450781584E+8	558.348027177309	562.348027177309	0.856494284092286	8.75337158342316E+7	575.974922739259	579.515502739259				
0.877374532822886	1.03530194873101E+8	557.130063405761	561.130063405761	0.873272433430765	8.92484426966242E+7	575.115130942443	578.655710942443				
0.897016431903536	1.05847938964617E+8	555.912099634213	559.912099634213	0.890052189256158	9.09633337419793E+7	574.47028709483	578.01086709483				
0.916658330984186	1.08165683056134E+8	554.765780790403	558.765780790403	0.906836764542295	9.26787173362225E+7	574.47028709483	578.01086709483				
0.936300230064836	1.10483427147651E+8	553.547817018855	557.547817018855	0.923618126854603	9.43937725645404E+7	574.040391196422	577.580971196422				
0.955942129145486	1.12801171239167E+8	552.831367741473	556.831367741473	0.940399489166911	9.61088277928583E+7	573.610495298014	577.151075298014				
0.975584028226136	1.15118915330684E+8	552.544788030521	556.544788030521	0.957184064453048	9.78242113871016E+7	573.610495298014	577.151075298014				
1	1.18E+8	552.370452039691	556.370452039691	0.973968639739186	9.95395949813448E+7	573.610495298014	577.151075298014				
				0.990754018268781	1.01255060667069E+8	573.610495298014	577.151075298014				
				1	1.022E+8	573.610495298014	577.151075298014				
