Wavelength	k_0	k_kappa	k_0+	k_0-	Frequency
	10^5cm-1	10^5cm-1	10^5cm-1	10^5cm-1	
830	4.06517952064223	0.639676319782775	4.70485584042501	3.42550320085946	
633	5.1987258418685	0.889303852832103	6.0880296947006	4.3094219890364	
532	6.1010526747854	1.06435131954428	7.16540399432968	5.03670135524112	
458	7.0792352369649	1.24753738034666	8.32677261731156	5.83169785661824	
